iter	Passed	Remaining
715	708	775
716	708	774
717	709	772
718	710	771
719	710	769
720	710	768
721	711	766
722	712	765
723	712	763
724	713	762
725	713	761
726	714	759
727	715	758
728	715	756
729	715	755
730	716	753
731	717	752
732	717	751
733	718	749
734	719	748
735	719	747
736	720	746
737	721	744
738	721	743
739	722	742
740	722	740
741	723	738
742	723	737
743	724	735
744	724	734
745	724	732
746	725	731
747	725	729
748	726	728
749	727	727
750	727	725
751	728	724
752	728	723
753	729	721
754	729	719
755	730	718
756	731	717
757	731	716
758	731	714
759	732	713
760	733	712
761	733	710
762	734	709
763	734	707
764	734	706
765	735	704
766	736	703
767	736	702
768	737	700
769	737	699
770	738	698
771	738	696
772	739	695
773	740	694
774	741	693
775	742	692
776	742	690
777	743	689
778	743	688
779	744	686
780	744	685
781	745	684
782	745	683
783	746	681
784	746	679
785	746	678
786	747	677
787	748	675
788	748	674
789	748	673
790	749	671
791	750	670
792	750	669
793	751	667
794	751	666
795	752	665
796	752	663
797	752	662
798	753	660
799	753	659
800	754	657
801	754	657
802	755	656
803	756	654
804	757	653
805	757	652
806	758	651
807	758	649
808	758	648
809	759	646
810	759	645
811	760	644
812	761	643
813	761	641
814	762	640
815	763	639
816	764	638
817	765	637
818	766	637
819	766	635
820	767	634
821	768	633
822	768	632
823	769	631
824	769	629
825	770	628
826	771	627
827	771	626
828	772	625
829	773	624
830	773	622
831	774	621
832	775	620
833	775	619
834	776	618
835	777	617
836	778	617
837	779	616
838	780	615
839	781	614
840	782	613
841	783	612
842	784	611
843	785	610
844	785	609
845	786	608
846	787	607
847	788	606
848	789	604
849	789	603
850	790	602
851	790	601
852	791	600
853	791	598
854	792	597
855	792	596
856	793	595
857	793	594
858	794	593
859	795	591
860	795	590
861	796	589
862	796	587
863	797	586
864	797	585
865	798	584
866	800	584
867	800	583
868	800	581
869	801	580
870	802	579
871	802	578
872	803	576
873	803	575
874	804	574
875	804	573
876	804	571
877	805	570
878	806	569
879	807	568
880	808	567
881	809	566
882	809	565
883	811	565
884	811	564
885	812	562
886	813	562
887	813	560
888	814	559
889	814	558
890	814	556
891	815	555
892	815	554
893	815	553
894	816	551
895	816	550
896	816	549
897	817	547
898	817	546
899	817	545
900	818	543
901	818	542
902	819	541
903	820	540
904	820	539
905	821	538
906	822	538
907	823	537
908	824	536
909	824	534
910	825	533
911	825	532
912	826	531
913	826	529
914	826	528
915	827	527
916	827	526
917	828	525
918	828	523
919	829	522
920	829	521
921	829	520
922	830	518
923	830	517
924	830	516
925	831	515
926	831	514
927	832	512
928	832	511
929	833	510
930	833	509
931	834	508
932	835	507
933	836	506
934	836	505
935	837	504
936	838	503
937	839	502
938	840	501
939	840	500
940	841	499
941	842	498
942	842	497
943	843	496
944	844	495
945	844	494
946	844	493
947	845	492
948	846	491
949	846	490
950	847	489
951	848	488
952	848	487
953	849	486
954	849	484
955	850	483
956	850	482
957	851	481
958	851	480
959	852	479
960	852	478
961	853	477
962	854	476
963	854	475
964	855	474
965	855	472
966	855	471
967	856	470
968	857	469
969	858	469
970	859	468
971	859	467
972	860	466
973	861	465
974	861	463
975	861	462
976	862	461
977	862	460
978	862	459
979	863	458
980	863	456
981	863	455
982	864	454
983	864	453
984	865	452
985	865	451
986	866	450
987	867	449
988	867	448
989	868	447
990	868	446
991	869	445
992	869	443
993	870	442
994	870	441
995	871	440
996	871	439
997	872	438
998	872	437
999	873	436
1000	874	435
1001	874	434
1002	875	433
1003	876	432
1004	877	431
1005	877	431
1006	878	430
1007	878	428
1008	879	427
1009	880	427
1010	881	426
1011	881	425
1012	882	424
1013	883	423
1014	884	422
1015	884	421
1016	885	420
1017	885	419
1018	885	418
1019	886	417
1020	886	416
1021	887	414
1022	887	413
1023	887	412
1024	888	411
1025	889	411
1026	890	410
1027	891	409
1028	892	408
1029	892	407
1030	893	406
1031	893	405
1032	894	404
1033	894	403
1034	895	402
1035	895	401
1036	896	400
1037	896	399
1038	897	398
1039	897	397
1040	898	396
1041	899	395
1042	899	394
1043	900	393
1044	901	392
1045	901	391
1046	902	390
1047	903	389
1048	904	388
1049	904	387
1050	905	386
1051	906	385
1052	906	384
1053	907	384
1054	908	383
1055	908	382
1056	909	381
1057	910	380
1058	910	379
1059	911	378
1060	911	377
1061	912	376
1062	913	375
1063	913	374
1064	914	373
1065	914	372
1066	915	371
1067	916	370
1068	916	369
1069	917	368
1070	919	368
1071	919	367
1072	920	366
1073	921	365
1074	921	364
1075	922	363
1076	922	362
1077	922	361
1078	923	360
1079	923	359
1080	923	358
1081	924	357
1082	925	356
1083	925	355
1084	926	354
1085	926	353
1086	927	352
1087	928	351
1088	928	350
1089	929	349
1090	929	348
1091	930	347
1092	930	346
1093	931	345
1094	932	344
1095	932	343
1096	933	343
1097	934	342
1098	935	341
1099	935	340
1100	936	339
1101	936	338
1102	937	337
1103	937	336
1104	938	335
1105	939	334
1106	939	333
1107	940	332
1108	941	331
1109	942	330
1110	942	330
1111	942	328
1112	943	328
1113	944	327
1114	945	326
1115	946	325
1116	947	324
1117	947	323
1118	948	323
1119	949	322
1120	950	321
1121	950	320
1122	951	319
1123	952	318
1124	953	317
1125	953	316
1126	954	315
1127	955	315
1128	956	314
1129	957	313
1130	958	312
1131	959	311
1132	959	310
1133	960	309
1134	961	309
1135	961	308
1136	962	307
1137	963	306
1138	964	305
1139	965	304
1140	965	303
1141	967	303
1142	968	302
1143	969	301
1144	970	300
1145	970	299
1146	970	298
1147	971	297
1148	971	296
1149	971	295
1150	972	294
1151	973	293
1152	973	293
1153	974	292
1154	975	291
1155	976	290
1156	977	289
1157	978	289
1158	979	288
1159	980	287
1160	980	286
1161	981	285
1162	983	284
1163	984	284
1164	985	283
1165	985	282
1166	985	281
1167	986	280
1168	987	279
1169	988	278
1170	989	277
1171	990	277
1172	990	276
1173	991	275
1174	991	274
1175	992	273
1176	993	272
1177	994	271
1178	994	270
1179	995	269
1180	996	269
1181	996	268
1182	997	267
1183	998	266
1184	998	265
1185	999	264
1186	999	263
1187	1000	262
1188	1001	261
1189	1002	261
1190	1002	260
1191	1003	259
1192	1003	258
1193	1004	257
1194	1005	256
1195	1006	255
1196	1006	254
1197	1007	253
1198	1007	252
1199	1008	252
1200	1009	251
1201	1010	250
1202	1010	249
1203	1011	248
1204	1012	247
1205	1012	246
1206	1012	245
1207	1013	244
1208	1014	244
1209	1015	243
1210	1017	242
1211	1018	241
1212	1018	241
1213	1019	240
1214	1019	239
1215	1020	238
1216	1021	237
1217	1022	236
1218	1023	235
1219	1024	235
1220	1024	234
1221	1025	233
1222	1026	232
1223	1026	231
1224	1027	230
1225	1028	229
1226	1029	228
1227	1030	228
1228	1030	227
1229	1031	226
1230	1032	225
1231	1032	224
1232	1033	223
1233	1033	222
1234	1034	221
1235	1034	221
1236	1035	220
1237	1035	219
1238	1036	218
1239	1036	217
1240	1036	216
1241	1038	215
1242	1039	214
1243	1039	213
1244	1040	213
1245	1040	212
1246	1041	211
1247	1043	210
1248	1044	209
1249	1045	209
1250	1045	208
1251	1046	207
1252	1046	206
1253	1046	205
1254	1047	204
1255	1048	203
1256	1048	202
1257	1049	201
1258	1049	200
1259	1051	200
1260	1051	199
1261	1051	198
1262	1052	197
1263	1052	196
1264	1053	195
1265	1054	194
1266	1055	194
1267	1056	193
1268	1057	192
1269	1057	191
1270	1058	190
1271	1058	189
1272	1060	189
1273	1061	188
1274	1062	187
1275	1063	186
1276	1063	185
1277	1064	184
1278	1064	184
1279	1065	183
1280	1065	182
1281	1065	181
1282	1066	180
1283	1066	179
1284	1067	178
1285	1068	177
1286	1068	176
1287	1069	176
1288	1069	175
1289	1070	174
1290	1071	173
1291	1071	172
1292	1071	171
1293	1072	170
1294	1073	169
1295	1074	169
1296	1075	168
1297	1076	167
1298	1076	166
1299	1077	165
1300	1077	164
1301	1078	164
1302	1079	163
1303	1079	162
1304	1080	161
1305	1081	160
1306	1081	159
1307	1082	158
1308	1082	158
1309	1083	157
1310	1084	156
1311	1085	155
1312	1086	154
1313	1087	153
1314	1088	153
1315	1089	152
1316	1089	151
1317	1090	150
1318	1091	149
1319	1091	148
1320	1091	147
1321	1092	147
1322	1092	146
1323	1093	145
1324	1094	144
1325	1095	143
1326	1095	142
1327	1096	142
1328	1097	141
1329	1098	140
1330	1099	139
1331	1100	138
1332	1101	137
1333	1102	137
1334	1103	136
1335	1104	135
1336	1105	134
1337	1105	133
1338	1106	133
1339	1107	132
1340	1108	131
1341	1109	130
1342	1110	129
1343	1110	128
1344	1110	128
1345	1111	127
1346	1112	126
1347	1113	125
1348	1114	124
1349	1115	123
1350	1115	123
1351	1116	122
1352	1116	121
1353	1117	120
1354	1118	119
1355	1119	118
1356	1120	118
1357	1121	117
1358	1122	116
1359	1122	115
1360	1123	114
1361	1124	113
1362	1125	113
1363	1126	112
1364	1126	111
1365	1127	110
1366	1128	109
1367	1129	108
1368	1130	108
1369	1131	107
1370	1131	106
1371	1132	105
1372	1132	104
1373	1133	103
1374	1134	103
1375	1135	102
1376	1136	101
1377	1136	100
1378	1136	99
1379	1137	98
1380	1138	98
1381	1139	97
1382	1139	96
1383	1140	95
1384	1141	94
1385	1142	93
1386	1142	93
1387	1143	92
1388	1144	91
1389	1144	90
1390	1145	89
1391	1146	88
1392	1147	88
1393	1148	87
1394	1148	86
1395	1149	85
1396	1150	84
1397	1150	83
1398	1151	83
1399	1152	82
1400	1152	81
1401	1153	80
1402	1153	79
1403	1153	78
1404	1154	78
1405	1155	77
1406	1156	76
1407	1157	75
1408	1158	74
1409	1158	73
1410	1159	73
1411	1159	72
1412	1160	71
1413	1161	70
1414	1162	69
1415	1163	69
1416	1164	68
1417	1164	67
1418	1165	66
1419	1166	65
1420	1166	64
1421	1167	64
1422	1169	63
1423	1169	62
1424	1169	61
1425	1170	60
1426	1170	59
1427	1171	59
1428	1172	58
1429	1173	57
1430	1173	56
1431	1174	55
1432	1175	54
1433	1176	54
1434	1177	53
1435	1178	52
1436	1179	51
1437	1180	50
1438	1181	50
1439	1182	49
1440	1183	48
1441	1184	47
1442	1185	46
1443	1186	45
1444	1186	45
1445	1187	44
1446	1188	43
1447	1189	42
1448	1190	41
1449	1192	41
1450	1193	40
1451	1193	39
1452	1195	38
1453	1195	37
1454	1196	37
1455	1197	36
1456	1197	35
1457	1198	34
1458	1198	33
1459	1199	32
1460	1200	32
1461	1200	31
1462	1201	30
1463	1201	29
1464	1202	28
1465	1202	27
1466	1202	27
1467	1203	26
1468	1203	25
1469	1204	24
1470	1204	23
1471	1204	22
1472	1204	22
1473	1205	21
1474	1205	20
1475	1206	19
1476	1206	18
1477	1206	17
1478	1206	17
1479	1207	16
1480	1207	15
1481	1207	14
1482	1207	13
1483	1208	13
1484	1208	12
1485	1209	11
1486	1209	10
1487	1209	9
1488	1210	8
1489	1210	8
1490	1210	7
1491	1211	6
1492	1212	5
1493	1212	4
1494	1212	4
1495	1213	3
1496	1213	2
1497	1213	1
1498	1214	0
1499	1214	0
