iter	Passed	Remaining
655	327	420
656	327	419
657	327	419
658	327	418
659	327	417
660	328	416
661	328	415
662	328	414
663	328	413
664	328	413
665	329	412
666	329	411
667	329	410
668	329	409
669	329	408
670	330	407
671	330	407
672	330	406
673	331	406
674	331	405
675	331	404
676	332	403
677	332	402
678	332	402
679	332	401
680	333	400
681	333	399
682	333	398
683	333	398
684	333	397
685	333	396
686	334	395
687	334	394
688	334	394
689	335	393
690	335	392
691	335	391
692	335	390
693	335	389
694	335	389
695	336	388
696	336	387
697	336	386
698	336	385
699	337	385
700	337	384
701	337	383
702	337	382
703	337	381
704	337	381
705	338	380
706	338	379
707	338	378
708	338	377
709	339	377
710	339	376
711	339	376
712	340	375
713	340	374
714	340	373
715	340	372
716	340	372
717	340	371
718	341	370
719	341	369
720	341	368
721	341	368
722	342	367
723	342	366
724	342	366
725	342	365
726	342	364
727	343	363
728	343	362
729	343	362
730	343	361
731	343	360
732	344	360
733	344	359
734	344	359
735	345	358
736	345	357
737	345	356
738	345	355
739	345	355
740	345	354
741	346	353
742	346	352
743	346	352
744	346	351
745	347	350
746	347	350
747	347	349
748	347	348
749	347	347
750	348	347
751	348	346
752	348	345
753	348	344
754	348	344
755	349	343
756	349	342
757	349	342
758	349	341
759	350	340
760	350	340
761	350	339
762	350	338
763	350	338
764	351	337
765	351	336
766	351	335
767	351	335
768	352	334
769	352	334
770	352	333
771	352	332
772	353	332
773	353	331
774	353	330
775	353	330
776	353	329
777	354	328
778	354	328
779	354	327
780	355	326
781	355	326
782	355	325
783	355	324
784	355	324
785	356	323
786	356	322
787	356	322
788	356	321
789	356	320
790	357	320
791	357	319
792	357	318
793	357	318
794	358	317
795	358	316
796	358	316
797	358	315
798	358	314
799	358	313
800	359	313
801	359	312
802	359	312
803	359	311
804	359	310
805	360	310
806	360	309
807	360	308
808	360	308
809	360	307
810	360	306
811	361	305
812	361	305
813	361	304
814	362	304
815	362	303
816	362	303
817	362	302
818	362	301
819	363	301
820	363	300
821	363	299
822	363	299
823	363	298
824	364	298
825	364	297
826	364	296
827	364	296
828	364	295
829	365	294
830	365	294
831	365	293
832	366	293
833	366	292
834	366	292
835	366	291
836	366	290
837	367	290
838	367	289
839	367	288
840	367	288
841	368	287
842	368	287
843	368	286
844	368	285
845	368	285
846	369	284
847	369	283
848	369	283
849	370	283
850	370	282
851	370	281
852	370	281
853	371	280
854	371	280
855	371	279
856	371	278
857	371	278
858	371	277
859	372	276
860	372	276
861	372	275
862	372	275
863	373	274
864	373	273
865	373	273
866	373	272
867	373	272
868	373	271
869	374	270
870	374	270
871	374	269
872	374	269
873	374	268
874	375	267
875	375	267
876	375	266
877	375	266
878	375	265
879	376	264
880	376	264
881	376	263
882	376	263
883	376	262
884	377	262
885	377	261
886	377	260
887	377	260
888	377	259
889	378	259
890	378	258
891	378	257
892	378	257
893	378	256
894	379	256
895	379	255
896	379	255
897	379	254
898	379	253
899	379	253
900	380	252
901	380	252
902	380	251
903	380	250
904	380	250
905	381	249
906	381	249
907	381	249
908	382	248
909	382	247
910	382	247
911	382	246
912	382	246
913	383	245
914	383	244
915	383	244
916	383	243
917	383	243
918	384	242
919	384	242
920	384	241
921	384	241
922	384	240
923	384	239
924	385	239
925	385	238
926	385	238
927	385	237
928	386	237
929	386	236
930	386	236
931	386	235
932	387	235
933	387	234
934	387	234
935	387	233
936	387	232
937	388	232
938	388	232
939	389	231
940	389	231
941	389	230
942	389	230
943	389	229
944	389	229
945	390	228
946	390	227
947	390	227
948	390	226
949	390	226
950	391	225
951	391	225
952	391	224
953	391	224
954	391	223
955	392	223
956	392	222
957	392	221
958	392	221
959	392	220
960	393	220
961	393	220
962	393	219
963	394	219
964	394	218
965	394	218
966	394	217
967	394	216
968	394	216
969	395	215
970	395	215
971	395	214
972	396	214
973	396	214
974	396	213
975	396	212
976	396	212
977	397	211
978	397	211
979	397	210
980	397	210
981	397	209
982	398	209
983	398	208
984	398	208
985	398	207
986	399	207
987	399	206
988	399	206
989	399	205
990	399	205
991	400	204
992	400	204
993	400	203
994	400	203
995	401	202
996	401	202
997	401	201
998	401	201
999	401	200
1000	401	200
1001	402	199
1002	402	199
1003	402	199
1004	403	198
1005	403	198
1006	403	197
1007	403	197
1008	403	196
1009	404	196
1010	404	195
1011	404	194
1012	404	194
1013	404	194
1014	405	193
1015	405	193
1016	405	192
1017	405	192
1018	405	191
1019	406	191
1020	406	190
1021	406	190
1022	406	189
1023	406	189
1024	407	188
1025	407	188
1026	408	187
1027	408	187
1028	408	186
1029	408	186
1030	408	185
1031	408	185
1032	409	184
1033	409	184
1034	409	183
1035	409	183
1036	410	183
1037	410	182
1038	410	182
1039	410	181
1040	411	181
1041	411	180
1042	411	180
1043	411	179
1044	411	179
1045	411	178
1046	411	178
1047	412	177
1048	412	177
1049	412	176
1050	413	176
1051	413	175
1052	413	175
1053	413	174
1054	413	174
1055	413	173
1056	413	173
1057	414	173
1058	414	172
1059	414	172
1060	414	171
1061	415	171
1062	415	170
1063	415	170
1064	415	169
1065	415	169
1066	415	168
1067	416	168
1068	416	167
1069	416	167
1070	417	167
1071	417	166
1072	417	166
1073	417	165
1074	418	165
1075	418	164
1076	418	164
1077	418	163
1078	418	163
1079	418	162
1080	419	162
1081	419	162
1082	419	161
1083	419	161
1084	420	160
1085	420	160
1086	420	159
1087	420	159
1088	420	158
1089	421	158
1090	421	157
1091	421	157
1092	421	157
1093	422	156
1094	422	156
1095	422	155
1096	422	155
1097	422	154
1098	423	154
1099	423	153
1100	423	153
1101	424	153
1102	424	152
1103	424	152
1104	425	151
1105	425	151
1106	425	151
1107	425	150
